Language,Tagalog,Wolof,Baure,Isthmus Zapotec,Somali,Kikuyu; Gikuyu,Croatian,Bakhtiari,Choctaw,Marathi,Nepal Bhasa; Newari,Amharic,Tamil,Bavarian,Võro,Abkhazian,Alviri-Vidari,Cebuano,Nganasan,Telugu,Aragonese,Central Kurdish,Swiss German; Alemannic; Alsatian,Luo (Kenya and Tanzania),Finnish,Bodo (India),Uighur; Uyghur,Papiamento,Rohingya,Gaelic; Scottish Gaelic,Malayalam,Thai,Walloon,Gujarati,Kis,Nanai,Chamicuro,Scots,French,Uab Meto,uranik kathava,Pedi; Sepedi; Northern Sotho,Achinese,Lithuanian,Dogrib,Kashmiri,Urdu,Ama (Papua New Guinea),Banjar,Masai,Catalan; Valencian,Votic,Tonga (Tonga Islands),Hakka Chinese,Nauru,Bashkir,Ingush,Cheyenne,Bulgarian,Erzya,Central Melanau,Prussian,Krio,Waray,Welsh,Ewe,Moroccan Arabic,Kildin Sami,Tuvinian,Tok Pisin,San Blas Kuna,"Low German; Low Saxon; German, Low; Saxon, Low",Ganda,Manx,Tuvalu,Chinese,purank kania,Lule Sami,pauranik varta,Cornish,Wu Chinese,Czech,Ket,Sranan Tongo,Iloko,Shona,Tahitian,Bengali,Western Frisian,Western Apache,Komi-Permyak,Northern Frisian,Potawatomi,Mazanderani,Hebrew,Pitcairn-Norfolk,"Greek, Ancient (to 1453)",Northern Sami,Tachelhit,"Sotho, Southern",Chamorro,Macedonian,Rapanui,Ladin,Koryak,Gheg Albanian,Dolgan,pouraniko kahani,Fijian,Eshtehardi,Minangkabau,Swedish,Archi,Gallurese Sardinian,Kabyle,Gagauz,Karachay-Balkar,Pali,Georgian,Slovak,Navajo; Navaho,Kalo Finnish Romani,Standard Malay,Venda,Russian,puranik kahania,Latgalian,Sichuan Yi; Nuosu,onjomnosk,pouranik kahini,Nogai,Moksha,Dongxiang,Hungarian,Algonquin,Classical Syriac,Bau Bidayuh,Hopi,Albanian,Kannada,Kara-Kalpak,Nenets,Central Atlas Tamazight,Laz,Esperanto,Pennsylvania German,Central Khmer,Lombard,Romansh,Chechen,pauranik akhyayika,Malay (macrolanguage),Gan Chinese,Mandarin Chinese,pauranikakathasamuhah,Danish,Kölsch,Vlaams,Silesian,Kalmyk; Oirat,Tatar,Lak,Divehi; Dhivehi; Maldivian,Shor,Dzongkha,Ingrian,Aleut,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Unnamed: 168,Cherokee,Russia Buriat,Japanese,Tohono O'odham,khristpurb,Mandinka,Haitian; Haitian Creole,Tai Dam,Sundanese,Lezghian,Romagnol,Mócheno,Khakas,Turkmen,Ainu,Indonesian,Turkish,Fiji Hindi,Borôro,Basque,Sanskrit,Talysh,Coptic,puraniki,Burmese,Gilbertese,Manchu,Central Okinawan,Oriya,Standard Arabic,Khoekhoe,Kalaallisut; Greenlandic,Limburgan; Limburger; Limburgish,Wymysorys,Tigrinya,Western Abnaki,Neapolitan,!Xóõ,Mongolian,Ngarrindjeri,Pacific Gulf Yupik,Lower Sorbian,Abaza,Yakut,Hiligaynon,Persian,Ladino,Innu,Lakota,Dakota,German,Jamaican Creole English,Lao,Min Dong Chinese,Mirandese,Chichewa; Chewa; Nyanja,"Bokmål, Norwegian; Norwegian Bokmål",Hausa,Aguaruna,Ligurian,Irish,Maltese,pauranikakathe,Romanian,Tswana,Kinyarwanda,Mingrelian,Sinhala; Sinhalese,Meru,English,Sassarese Sardinian,Warlpiri,Kashubian,Kazakh,puranik kanyo,Venetian,Javanese,Northern Tiwa,Faroese,Galician,pauranika-kathe,Breton,Icelandic,Lushai,Alabama,Powhatan,Belarusian,Western Mari,pauranika kathe,Crimean Tatar; Crimean Turkish,Corsican,Lingala,Armenian,Evenki,Upper Sorbian,Veps,Guerrero Amuzgo,Dutch,Chuvash,Latin,Asturian; Bable; Leonese; Asturleonese,Seri,Hawaiian,Pangasinan,Polish,Inari Sami,Tetum,Adyghe; Adygei,Zulu,Chinook jargon,Buginese,Italian,Panjabi; Punjabi,Assamese,Pampanga; Kapampangan,Egyptian Arabic,Arpitan,Udmurt,Santali,Kirghiz; Kyrgyz,Kamba,Ukrainian,Slovenian,Kabardian,Kumyk,kristapurva,Nepali,Sindhi,Piemontese,Guadeloupean Creole French,Madurese,Extremaduran,Dungan,Pitjantjatjara,Manipuri,Central Yupik,Yue Chinese,Skolt Sami,Modern Greek (1453-),Avestan,Bambara,Bishnupriya,Friulian,pauraniki,Aromanian; Arumanian; Macedo-Romanian,Samogitian,Portuguese,Tibetan,Afrikaans,Miyako,Xhosa,Vietnamese,Northern Kurdish,Avaric,Sicilian,pouraniko kotha,Occitan (post 1500); Provençal,Tajik,Liv,Ossetian; Ossetic,Rusyn,pauranika,Balinese,Korean,Central Bikol,Samoan,"Norwegian Nynorsk; Nynorsk, Norwegian",Konkani,Saterfriesisch,Logudorese Sardinian,Eastern Mari,Yucateco,Luxembourgish; Letzeburgesch,Spanish; Castilian,Bislama,Karelian,Igbo,Mi'kmaq; Micmac,Southern Altai,Swati,Maori,Hindi,Western Panjabi,Pipil,Campidanese Sardinian,Udi,Yoruba
Wymysorys,8,0,0,0,0,0,13,0,0,0,1,0,2,8,2,0,0,2,0,3,5,0,1,1,10,1,1,10,0,9,2,4,2,3,0,0,1,9,20,0,0,0,0,11,0,2,7,0,0,0,14,0,1,0,0,1,0,0,7,0,0,3,0,0,7,0,0,0,0,9,0,18,2,6,0,0,0,0,0,9,0,13,0,1,3,0,0,5,23,0,0,3,0,0,2,0,8,1,1,1,2,9,0,5,0,0,0,0,2,0,0,26,0,1,0,0,0,0,2,12,3,0,5,0,15,0,4,0,0,0,0,0,0,6,0,1,0,0,8,3,0,0,1,0,18,1,1,2,18,1,0,7,0,2,0,24,11,4,1,0,1,0,0,0,0,1,0,4,0,0,0,10,0,0,0,5,0,1,1,0,1,0,1,0,5,5,0,0,4,3,0,0,0,1,0,0,0,2,1,0,0,9,0,0,0,8,0,2,0,0,8,0,0,3,6,0,0,0,0,41,1,0,0,2,0,29,2,0,6,13,6,0,22,1,0,0,2,1,35,1,0,2,2,0,10,1,2,24,8,0,12,25,0,0,0,13,0,0,0,7,1,5,0,7,1,1,35,0,17,11,0,4,0,15,0,0,0,1,0,0,17,4,2,2,1,2,0,0,1,0,13,13,0,0,0,2,0,4,0,0,0,0,0,1,0,0,1,10,0,1,0,8,0,8,0,21,0,25,0,0,2,3,0,11,0,12,2,2,4,0,0,0,3,0,2,18,2,5,3,0,1,21,17,1,1,0,0,0,0,0,6,0,0,4,0,1
Tigrinya,18,8,0,0,17,1,16,1,0,16,1,43,11,2,2,2,1,12,0,13,13,3,7,0,7,16,2,19,1,6,11,0,17,14,0,0,0,11,23,0,0,8,0,7,0,13,18,0,3,0,21,0,9,0,0,9,0,0,15,2,1,1,0,5,7,9,2,8,8,11,0,14,10,2,8,0,0,0,0,4,0,7,0,0,14,2,6,15,16,0,8,12,0,4,6,1,9,4,0,4,13,14,0,11,0,0,0,0,8,1,0,15,0,0,17,8,9,0,14,17,0,1,16,0,19,0,0,0,0,0,1,8,0,14,0,0,0,0,7,16,8,8,1,0,17,8,0,13,21,14,0,14,1,0,0,13,8,9,3,0,17,8,4,0,0,0,0,12,0,2,9,4,0,0,0,11,0,10,8,0,0,8,13,0,22,13,1,0,13,5,2,8,0,9,3,0,0,13,22,0,9,13,0,0,0,16,0,8,0,0,16,6,1,5,2,2,0,0,0,20,13,0,0,1,3,12,19,0,17,8,19,0,19,5,6,1,0,2,21,0,0,1,5,0,15,12,0,19,15,0,7,16,0,2,0,5,8,0,10,15,15,15,8,16,0,0,23,0,16,14,0,10,0,10,1,10,8,17,0,0,18,18,14,8,6,7,9,0,14,0,7,16,8,9,0,19,8,12,0,0,8,0,0,11,0,0,0,19,0,8,0,15,0,12,1,27,0,16,1,16,2,12,9,14,0,16,10,9,11,6,0,0,3,2,8,9,15,10,4,10,0,14,22,8,1,7,0,9,1,14,18,9,0,4,4,8
Western Abnaki,2,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,1,0,2,0,1,0,0,3,1,0,1,0,1,2,2,0,3,0,0,0,1,5,0,0,1,0,3,0,2,3,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,3,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,3,1,1,0,4,2,0,4,2,1,0,0,0,8,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,2,0,0,4,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,8,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,2,1,0,2,4,0,0,3,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,3
Neapolitan,85,24,0,2,32,6,149,2,4,49,3,21,31,48,13,12,2,50,0,33,126,6,40,5,77,38,7,101,5,58,33,22,82,49,0,2,2,66,338,0,0,14,0,75,0,38,49,0,3,2,304,5,26,0,2,30,0,0,117,20,2,15,0,15,74,22,4,16,26,42,0,49,17,31,20,0,0,0,0,66,0,127,4,14,58,4,14,53,89,0,19,34,0,5,26,4,36,24,0,11,47,108,2,56,0,0,0,0,25,2,3,175,2,4,24,16,23,0,69,154,5,1,94,0,159,0,10,0,0,0,4,26,0,105,0,3,0,0,117,32,23,19,4,3,256,13,6,49,189,38,0,86,4,8,0,161,42,36,13,5,58,16,14,2,0,2,0,53,2,3,25,73,0,0,0,85,0,31,26,2,1,21,47,0,129,69,6,0,110,25,4,16,0,22,11,1,0,40,46,3,22,78,8,16,0,84,2,14,0,0,56,13,19,33,20,13,0,5,2,213,29,2,0,26,6,162,49,0,88,87,99,0,236,20,9,5,3,8,227,4,0,26,39,0,133,52,11,67,244,0,111,92,0,3,0,79,15,0,38,96,34,49,20,55,11,2,205,14,248,188,0,34,5,140,1,32,17,36,1,4,343,51,34,30,6,29,25,0,37,4,103,156,20,20,0,44,14,115,2,0,24,0,0,33,0,0,3,115,0,17,1,142,0,87,18,401,0,145,2,35,9,44,25,241,0,241,43,32,44,26,0,1,17,7,27,78,45,29,19,36,2,80,343,28,7,18,0,19,4,41,75,17,0,32,11,31
!Xóõ,0,0,0,1,0,0,6,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,1,0,0,3,0,0,0,3,1,0,0,1,0,3,6,0,0,0,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,1,4,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,3,0,0,0,2,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,2,6,0,0,0,2,0,0,0,1,0,0,1,1,6,0,1,0,1,1,4,1,0,2,3,0,0,5,1,0,0,0,0,6,0,0,3,0,0,3,1,0,3,2,0,2,5,0,0,0,3,0,0,0,0,0,0,0,1,3,0,7,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,3,0,3,0,0,1,2,0,3,0,3,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,2,5,1,1,0,0,0,0,0,5,0,0,1,2,0
Mongolian,147,4,0,0,24,3,591,0,0,121,5,12,119,14,102,23,0,122,0,102,158,63,29,4,591,171,19,55,3,165,116,240,32,343,0,2,1,59,750,0,0,48,2,389,0,177,273,0,0,0,635,0,1,1,2,70,0,0,559,50,1,0,0,43,220,13,0,1,34,13,0,31,3,151,0,18,0,0,0,128,0,497,1,1,9,5,0,264,189,0,21,18,0,8,70,2,12,37,0,117,8,373,0,4,0,0,0,0,2,0,0,453,2,2,6,26,14,0,202,533,4,0,404,0,938,0,7,0,0,0,19,52,1,416,0,0,0,0,282,163,4,2,0,2,477,1,34,109,53,46,0,489,0,29,0,447,30,11,5,80,50,2,6,6,5,1,1,6,6,5,54,518,0,0,0,73,0,30,27,0,0,24,126,1,517,452,3,0,559,35,0,0,0,17,0,2,0,230,244,0,7,69,2,8,2,14,0,210,0,0,55,0,76,8,170,4,0,3,0,588,0,13,0,7,0,418,12,0,40,238,234,0,634,77,20,3,19,4,845,4,0,99,294,0,33,58,1,192,438,0,194,341,0,0,0,461,9,0,50,110,81,269,23,54,27,0,636,134,243,275,0,18,3,601,3,7,2,46,0,1,654,275,127,3,4,3,26,0,208,6,559,615,1,34,0,124,7,22,0,0,3,1,0,66,1,3,2,273,0,14,4,138,0,103,111,870,7,305,0,44,231,192,21,114,0,229,184,2,144,25,0,0,275,3,91,273,225,43,3,171,3,179,661,3,1,4,0,29,4,88,329,3,0,3,0,80
Ngarrindjeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gulf Yupik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Sorbian,112,17,1,1,39,5,389,0,1,78,7,20,46,27,21,29,0,52,0,46,89,17,61,10,148,50,14,83,5,96,64,45,70,101,0,1,0,83,277,0,0,12,1,167,0,60,89,0,3,1,214,6,15,0,3,47,2,0,306,44,4,20,3,19,119,28,5,18,38,55,0,84,22,53,14,1,0,0,0,61,0,441,4,7,36,9,10,84,169,0,31,48,0,9,38,4,54,40,0,36,36,287,3,31,0,1,0,0,19,0,2,242,3,0,26,28,20,1,72,418,9,1,122,0,389,0,27,1,0,0,21,46,0,180,0,2,0,0,128,65,17,17,1,4,233,17,20,54,172,59,0,105,1,13,0,254,53,23,29,19,72,16,14,3,0,2,0,93,2,1,36,93,0,0,0,61,0,27,38,3,2,35,78,0,157,139,4,0,143,46,1,22,0,20,5,1,0,78,52,3,21,87,8,16,0,56,2,55,0,0,100,7,41,14,26,11,0,4,1,293,26,13,0,14,3,237,46,0,47,132,142,0,209,43,20,5,11,14,251,0,0,101,90,0,79,54,3,165,178,0,130,193,0,1,0,297,13,0,50,67,43,89,30,476,28,0,290,39,177,164,0,48,6,415,6,23,18,65,7,2,231,87,64,20,4,19,42,1,85,6,315,415,16,33,0,71,12,40,1,1,17,5,0,32,1,1,6,121,0,18,2,119,0,70,42,289,0,177,5,36,52,81,36,127,0,159,74,27,70,52,0,2,53,6,30,159,64,46,10,72,1,140,232,21,13,16,0,33,4,37,98,13,0,14,5,45
Abaza,10,8,0,0,11,1,9,0,0,9,1,7,7,3,0,11,0,7,0,8,8,0,5,0,1,13,2,8,1,1,6,1,11,9,0,0,0,7,12,0,0,4,0,0,0,7,7,0,0,0,8,0,6,0,0,7,1,0,7,1,0,2,0,0,3,6,1,5,6,6,0,7,4,1,5,0,0,0,0,2,0,1,0,0,11,0,4,8,7,0,6,7,0,1,2,0,6,0,0,0,8,9,0,6,0,0,0,0,6,0,0,5,0,0,12,5,5,0,10,8,1,1,10,0,8,0,0,0,0,0,0,3,0,8,0,1,0,0,2,7,6,6,1,1,8,7,0,11,20,10,0,11,0,0,0,5,3,5,1,0,12,5,4,0,0,0,0,12,0,0,6,0,0,0,0,8,0,6,5,0,0,6,8,0,15,3,0,0,1,3,0,5,0,7,3,0,0,8,8,0,7,7,0,6,0,13,0,0,0,0,7,0,1,6,0,0,0,0,0,9,11,0,0,0,1,5,20,0,11,1,7,0,9,0,0,1,0,1,11,0,0,1,3,0,8,8,1,11,6,0,3,5,0,1,0,1,5,0,6,10,9,8,6,7,1,0,7,0,8,7,0,7,0,4,0,6,8,7,0,0,9,13,8,6,3,5,6,0,7,0,1,8,7,5,0,11,3,7,0,0,5,0,0,7,0,0,0,14,0,3,0,9,0,10,1,9,0,7,0,7,0,7,7,12,0,11,9,7,8,4,0,0,0,0,6,2,11,5,0,5,0,9,8,6,0,3,0,5,0,10,8,5,0,2,3,3
Yakut,83,3,0,0,11,0,155,0,0,37,4,1,25,15,42,31,0,53,0,20,77,16,17,1,119,16,29,43,5,48,31,43,36,61,1,2,0,41,155,0,0,9,1,129,1,29,39,0,3,1,120,1,1,0,2,128,3,0,198,48,3,1,0,39,70,1,2,3,54,5,0,43,3,43,1,2,0,0,0,54,0,128,0,2,12,2,1,49,71,0,28,23,0,1,23,4,13,24,0,31,13,139,1,9,0,0,21,0,2,0,0,134,1,0,2,40,44,0,73,129,3,0,104,0,213,0,14,0,0,0,42,46,0,115,0,1,0,1,136,27,30,3,1,3,145,1,16,45,45,38,0,93,0,6,0,127,9,9,12,39,73,5,3,17,0,0,0,9,1,1,29,85,0,0,0,49,0,27,49,1,0,60,115,0,114,151,7,0,109,11,1,1,0,2,0,2,1,42,46,1,2,54,0,1,0,19,0,76,0,0,41,1,10,4,30,3,0,0,0,153,2,3,0,10,0,131,9,0,29,77,89,0,128,17,6,3,4,1,151,0,0,46,180,0,40,55,1,56,118,0,79,91,0,0,0,208,15,0,70,49,23,72,30,42,34,0,146,95,105,96,1,19,1,142,2,9,5,17,0,1,145,49,21,8,1,3,39,0,143,1,221,150,5,79,0,34,0,24,1,0,6,1,0,17,0,0,5,81,0,3,0,61,0,44,54,203,1,98,1,7,52,82,39,95,0,102,97,3,116,36,0,0,48,3,32,85,42,41,0,92,1,80,147,1,3,0,0,53,1,26,46,3,0,5,0,50
Hiligaynon,122,12,0,0,15,1,45,0,5,13,2,7,15,15,2,6,0,80,0,19,37,3,13,0,33,26,4,29,3,11,18,10,22,30,0,0,1,19,95,0,0,12,2,19,0,21,23,0,2,1,81,4,13,0,1,11,0,0,38,11,2,5,0,10,23,5,2,5,10,20,0,14,5,10,10,2,0,0,0,28,0,41,4,3,62,2,9,23,25,0,8,16,0,1,11,2,12,13,0,2,34,35,5,18,0,0,0,0,10,0,1,54,2,0,13,6,7,1,27,40,0,1,50,0,52,0,2,0,0,0,1,14,0,31,0,2,0,0,38,22,8,8,2,4,77,7,4,23,40,13,0,53,1,4,0,47,11,12,4,1,19,6,6,1,0,0,0,21,0,1,9,30,0,0,0,31,1,10,8,1,0,8,24,0,56,30,2,0,50,25,0,5,0,8,4,1,0,23,24,3,6,17,3,5,1,33,0,8,0,0,14,6,4,20,14,3,0,4,0,68,17,3,0,3,1,50,27,0,42,27,28,0,63,7,3,0,2,1,88,0,0,5,20,0,35,13,10,28,79,0,45,27,0,2,0,24,5,0,11,29,6,18,8,11,5,1,64,4,47,61,1,17,6,45,2,12,7,13,1,2,87,26,17,24,5,13,8,0,18,0,35,53,7,6,0,21,2,24,1,0,10,1,0,17,1,1,3,35,0,7,0,27,0,19,5,95,0,45,0,13,7,18,8,56,0,59,16,10,12,8,0,1,8,9,10,24,24,10,4,12,0,26,106,15,2,7,0,6,1,22,25,5,0,3,7,11
Persian,95,1,0,0,15,1,286,1,0,75,6,3,82,10,20,9,5,42,0,90,58,129,12,0,290,114,16,55,11,62,106,145,25,339,0,0,2,30,500,0,0,31,1,154,0,277,771,0,3,2,362,1,2,1,0,47,1,0,198,35,6,6,0,15,105,0,3,2,17,20,0,25,4,86,2,8,0,0,0,58,0,263,3,2,12,3,1,221,62,0,8,12,0,1,53,4,20,23,0,24,13,161,3,11,0,0,0,0,2,0,1,237,4,0,4,15,10,1,100,237,10,0,251,0,351,0,11,0,0,0,11,33,0,222,0,0,1,0,142,132,6,1,0,1,260,0,26,31,37,16,0,357,0,22,0,214,18,7,6,13,39,4,6,1,0,0,0,8,0,1,10,281,0,0,0,41,0,22,22,0,0,9,108,0,369,404,3,0,305,60,9,1,0,9,1,1,0,197,547,3,5,30,6,2,1,20,1,170,0,0,26,0,30,14,140,6,0,1,0,351,1,9,0,11,0,191,16,0,23,132,102,0,391,48,4,2,5,1,571,0,0,26,114,0,34,35,0,71,252,0,91,139,3,0,0,140,5,0,58,34,19,128,8,26,10,0,366,31,123,147,0,31,3,333,2,6,2,22,1,0,385,307,156,5,29,2,11,1,73,0,182,336,1,26,0,146,4,12,1,0,3,1,0,70,1,2,5,165,2,13,0,42,0,23,25,509,1,129,0,18,87,123,17,84,0,114,140,4,42,12,0,1,111,2,19,121,170,19,0,58,3,59,343,6,4,1,1,10,0,21,254,4,0,0,10,35
Ladino,18,1,0,0,2,0,22,0,0,6,0,1,5,3,1,5,0,9,0,6,20,4,4,0,12,5,3,19,0,13,7,2,9,10,0,0,2,14,35,0,0,3,0,12,0,8,9,0,0,0,39,0,2,0,0,5,0,0,15,5,0,1,0,4,15,2,0,2,5,4,0,12,2,9,3,0,0,0,0,12,0,18,0,0,3,0,2,8,11,0,4,6,0,0,18,0,4,3,0,3,7,21,0,11,0,0,0,0,1,0,0,19,0,1,1,4,2,0,10,16,0,0,13,0,23,0,2,0,0,0,2,5,0,10,0,0,0,0,17,10,3,2,0,0,27,0,2,7,26,6,0,17,2,1,0,16,4,3,1,3,10,2,4,0,0,0,0,4,2,0,5,6,0,0,0,9,0,5,5,1,0,4,9,0,16,13,2,0,17,4,0,0,0,2,2,0,0,9,7,0,3,7,0,2,0,13,0,4,0,0,11,0,3,3,6,10,0,0,0,32,2,0,0,10,0,17,2,0,8,22,14,0,28,2,0,1,0,0,31,1,0,6,7,0,22,11,4,9,29,0,12,13,0,1,0,12,2,0,4,12,3,7,4,8,2,0,23,6,37,29,0,7,1,18,0,5,2,3,0,2,30,7,6,5,4,4,4,0,9,0,14,23,3,4,0,12,1,7,1,0,7,0,0,7,0,0,1,10,0,4,0,22,0,17,6,61,0,15,0,6,7,10,5,20,0,29,6,3,6,5,0,0,7,2,3,13,9,6,11,5,0,14,39,2,0,2,0,4,0,2,5,2,0,3,1,5
Innu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
